words,count
1,70
april,3
2010,2
fundamental,1
it,64
engineer,2
examination,6
morning,1
questions,5
must,6
be,50
answered,2
in,116
accordance,2
with,10
the,486
following,68
question,6
nos,1
q1,4
q80,2
selection,1
all,10
are,40
compulsory,1
time,14
930,1
1200,1
150,2
minutes,2
instructions,5
use,2
a,292
pencil,1
if,8
you,2
need,2
to,137
change,6
an,37
swer,2
erase,1
your,9
previous,4
answer,6
completely,1
and,136
neatly,1
wipe,1
away,1
any,4
eraser,1
debris,1
2,29
mark,6
examinee,3
information,12
answ,1
ers,1
below,15
will,2
not,22
graded,1
do,4
properly,2
nor,3
write,3
on,34
sheet,2
outside,2
of,259
prescribed,1
places,1
number,21
space,5
provided,3
ma,3
rk,1
appropriate,19
each,21
digit,5
date,2
birth,2
numbers,5
exac,1
tly,1
as,41
is,158
printed,1
admission,1
card,1
3,24
answers,2
select,9
one,20
through,8
d,94
for,66
shown,20
sample,3
which,82
month,3
spring,1
funda,1
mental,1
conducted,1
march,2
b,107
c,98
may,4
june,1
since,2
correct,3
follows,2
open,1
exam,2
booklet,1
until,1
instructed,1
so,5
inquiries,1
about,3
symbols,3
commonly,1
used,29
unless,1
otherwise,1
noted,1
logic,3
gate,8
applied,11
table,11
graphic,1
symbol,1
explanation,5
nand,1
or,30
exclusive,11
xor,1
buffer,3
tri,1
state,4
note,2
small,1
circle,1
bubble,1
either,2
input,2
output,9
terminal,2
shows,6
inversion,1
negation,2
company,21
names,2
product,13
appearing,1
trademarks,2
registered,2
their,2
respective,3
companie,1
s,9
that,47
within,2
when,34
equation,1
100,1
n34,1
n,12
44,2
holds,1
represents,5
26,3
here,19
written,3
radix,3
notation,1
subscript,2
indicates,4
addition,2
there,6
no,11
10,7
implied,1
18,4
20,5
22,5
38,1
q2,1
truth,1
combination,3
values,4
x1,3
x2,3
x3,3
stands,3
logical,13
sum,18
x,8
bc,1
dc,1
ba,1
0,36
q3,1
expressions,2
can,45
us,3
ed,7
calculate,1
quarter,1
example,4
january,2
th,13
year,8
ranges,1
from,32
12,2
december,1
fractional,1
part,4
resulting,2
truncated,1
31n,2
3n,2
4,22
q4,1
value,11
expression,2
13163,1
11,3
162,1
916,1
represented,1
binary,9
how,11
many,8
bits,1
included,2
6,10
13,2
16,4
q5,1
simultaneous,2
equations,1
hold,1
boolean,1
variables,1
w,4
y,7
z,4
solu,1
tion,4
operation,14
xy,2
xz,1
q6,1
tic,2
tac,2
toe,2
also,3
known,1
noughts,1
crosse,1
popular,1
game,2
two,10
players,1
o,2
who,2
take,2
turns,1
marking,1
spaces,2
33,3
grid,2
player,2
succeeds,1
placing,1
three,7
marks,2
horizontal,1
vertical,1
diagonal,1
row,1
wins,3
e,19
board,1
oooooxxxx,1
possible,1
combinations,1
moves,1
ar,3
fill,1
nine,1
regardless,1
losses,1
29,2
9,7
5,9
q7,1
cards,3
randomly,1
selected,3
at,19
standard,1
deck,1
52,2
playing,1
what,5
probability,1
ese,1
same,2
suit,1
heart,1
diamond,1
spade,1
club,1
85011,1
42511,1
42522,1
42544,1
q8,1
linked,1
list,7
queue,4
implem,1
entation,1
structures,2
provides,3
most,5
efficient,2
effective,5
wa,1
perform,1
both,2
insert,3
delete,1
operations,10
elemen,1
ts,1
variable,2
arrows,1
figures,1
represen,1
t,2
link,1
pointers,1
head,5
pointer,6
tail,2
q9,1
description,2
concerning,6
search,2
tree,5
whose,3
node,6
17,2
19,2
32,3
containing,1
these,2
has,4
maximum,2
depth,1
matter,2
placed,2
root,3
cannot,6
have,8
left,1
child,1
always,1
deepest,1
level,7
q10,1
null,3
children,3
called,4
leaf,3
other,9
nodes,4
except,1
non,2
including,2
n1,1
q11,1
data,49
referred,1
last,1
first,4
out,2
stack,1
q12,1
algorithm,3
sort,1
ascending,1
order,5
comparisons,1
find,2
fact,1
104,1
7,5
46,1
48,2
99,1
101,1
102,1
105,1
q13,1
43211111xxxx,1
nx1,1
calculated,2
should,3
process,16
box,3
flowchart,1
operationi,1
ninputn,1
istartoutputsumaoperationendat,1
start,1
loop,1
repetition,1
conditions,5
indicate,2
name,3
initial,1
vale,1
increment,1
final,1
ixi,2
i,3
1xi,2
q14,1
proce,1
ssor,1
architecture,2
single,4
stream,1
operate,1
multiple,8
pieces,1
parallel,3
mimd,1
misd,1
simd,1
sisd,1
8,9
q15,1
classified,2
internal,1
interrupt,5
by,45
divide,2
zero,1
io,9
completion,1
power,2
failures,2
such,11
momentary,1
blackout,1
commercial,1
occurrence,1
memory,13
parity,2
error,1
q16,1
chip,3
lines,2
nd,8
address,13
bytes,1
stored,4
signals,1
implemented,1
independent,4
those,4
li,1
nes,1
bit,2
considered,2
128,1
256,1
512,1
1024,1
q17,1
optical,1
disc,1
uses,9
organic,1
dye,1
recording,1
layer,3
storage,4
media,1
makes,2
traces,1
burni,1
ng,5
laser,1
light,7
pits,1
record,7
cd,2
r,3
rw,1
dvd,2
ram,1
rom,1
q18,1
mapped,1
technology,4
assi,1
gning,1
registers,1
devices,5
specifically,1
dedicated,3
main,3
wh,1
ich,1
whole,2
processing,10
decreased,1
partially,3
overlapping,1
execution,8
stage,3
simultaneously,1
performing,1
them,4
where,2
control,15
circ,1
uit,1
enables,1
device,3
transfer,1
directly,2
transmission,1
tech,1
nology,1
cpu,9
passes,1
da,1
ta,2
between,6
hard,2
disk,7
drives,1
q19,1
computing,1
connecting,1
computers,4
via,2
network,7
high,3
performance,7
system,60
configured,1
users,5
wherever,1
they,2
without,2
being,2
aware,1
existence,1
computer,3
interconnected,1
failure,3
occurs,1
some,3
co,4
mputers,1
over,3
failed,1
required,9
calculation,1
res,2
ources,1
capability,6
capacity,1
purchased,1
only,11
q20,1
figure,5
this,16
configurati,1
consists,2
systems,7
performs,2
line,4
active,3
prepares,1
standby,3
syst,1
em,1
usually,1
batch,1
configuration,2
switch,3
peripherals,2
communication,4
controller,1
dual,1
duplex,1
processor,1
simplex,1
q21,1
server,18
cl,1
ients,1
printers,2
connected,1
lan,2
transfers,1
printer,3
based,3
client,7
availability,3
formula,1
indicating,1
normal,1
least,2
clients,1
operating,2
clientprinter,1
clientclient,1
ab3,1
c2,2
b3,1
q22,1
model,7
dicating,1
mtbf,2
mttr,2
ti,3
ri,3
repair,5
t1r1r2t2r3t4t3failure,1
failurefailure,1
ni,8
1nri,3
1nti,3
1n,2
q23,1
certain,3
runs,1
multi,2
programming,5
environment,5
using,8
preemptive,1
shortest,2
job,1
algorith,1
m,1
four,6
processes,2
arrive,1
sequentially,2
every,2
millisecond,2
includes,1
estimated,3
then,2
milliseconds,1
respectively,2
third,1
completed,3
overhead,2
os,2
ignored,2
executed,1
concurrently,1
unit,4
q24,1
file,2
takes,2
15,3
ms,2
transaction,13
target,3
available,3
cache,4
targ,1
et,1
lieu,1
additional,1
75,1
access,12
thirds,1
transactions,6
processed,1
per,3
second,1
average,1
consecutively,1
handled,1
operati,1
performed,3
mmunication,2
25,5
28,2
q25,1
virtual,4
fifo,3
lru,3
page,7
replacement,2
replacemen,1
frames,2
real,2
make,4
references,1
2364631246,1
faults,1
occur,1
during,5
algorithms,1
separately,1
empty,1
beginning,1
q26,1
appropriately,4
desc,2
ribes,1
role,2
task,1
management,5
controls,3
operates,2
efficiently,1
multiprogramming,1
effectively,2
methods,2
various,2
types,1
auxiliary,1
way,1
does,4
depend,1
reduces,1
workload,1
creating,1
application,5
programs,7
q27,1
appropri,1
ate,1
hash,4
method,8
calculates,1
storing,5
its,12
key,6
function,8
conversion,1
ble,1
valu,1
es,1
addresses,2
records,6
next,1
direct,1
va,1
lue,1
14,1
q28,1
groups,2
case,8
tools,7
particular,1
software,12
development,6
life,2
cycle,2
de,7
signed,1
work,8
coope,1
ratively,1
integrated,2
consolidated,1
component,2
lower,2
upper,1
q29,1
ppropriate,1
dram,1
equipm,1
ent,1
erased,1
ultraviolet,1
irradiation,1
manufactured,1
microprograms,1
represent,1
depending,1
whet,1
her,1
capacitor,1
elec,1
trically,1
charged,1
often,1
flip,1
flops,1
although,1
acces,1
speed,4
fast,1
nufacturing,1
cost,12
q30,1
floor,1
layout,2
low,2
sensors,4
s1,4
s2,3
s3,3
bulb,5
middle,1
hallway,3
sensor,3
generates,2
signal,5
sunlight,2
external,1
source,1
detected,2
infrared,1
generate,2
ou,1
tput,1
detects,1
movement,2
thermal,1
range,1
circuits,1
turned,1
given,1
lo,1
gic,1
circuit,1
streams,1
windows,1
affect,1
bulbs1s2s3bulbs3s2s1bulbs1s2s3bulb,1
s1s3s2,1
q31,1
half,1
adder,1
diagram,6
adds,1
produces,1
carry,2
elements,3
xyz,1
ab,1
negative,3
q32,1
usage,2
radio,1
button,1
gui,1
several,1
options,4
specify,2
whether,1
option,5
am,1
ong,1
displayed,1
specific,1
item,3
among,3
set,2
mutually,1
severa,1
l,2
enter,2
found,5
into,6
text,3
q33,1
human,2
interface,2
design,4
intended,1
improve,3
consistency,2
designing,2
buttons,1
common,2
display,1
location,1
shape,2
screens,1
displaying,1
progress,3
stat,1
providing,4
undo,1
cancel,1
restore,1
condition,4
shortcut,1
keys,3
q34,1
sql,1
statements,1
corr,1
esponds,1
projection,1
relational,1
algebra,1
extract,1
column,1
continent,5
country,6
eliminate,1
duplicates,1
returned,1
canada,1
north,1
america,2
malaysia,1
asia,2
malawi,1
africa,1
brazil,1
south,1
germany,1
europe,1
china,1
group,2
distinct,1
q35,1
acid,1
atomicity,2
isolation,1
durability,1
properties,1
ription,1
basic,3
pe,1
rformed,1
entirety,1
else,1
cancelled,1
preserve,1
integrity,1
constraints,1
database,28
contradiction,1
inte,1
rfere,1
another,9
intermediate,1
results,3
visible,1
once,3
changes,4
committed,1
never,1
lost,1
because,3
subsequent,2
q36,1
clientserver,1
accessed,1
reduce,1
load,1
preparing,2
instruction,1
beforehand,1
frequently,1
commitment,2
multithread,1
procedure,2
phase,1
q37,1
scription,3
shared,4
lock,8
resour,1
ce,1
ource,1
reso,1
urce,1
resource,1
q38,1
describes,3
characteristic,2
distributed,2
comparison,1
centralized,1
site,2
whol,1
unavailable,1
acquisition,1
maintenance,7
costs,2
entire,4
nature,1
expansion,1
adding,2
mo,1
re,4
increasing,1
sizes,1
more,2
processors,1
much,1
difficult,1
local,2
queries,1
accessing,1
better,1
smaller,1
databases,1
q39,1
protocols,1
temporarily,1
assign,2
ip,5
leased,1
pool,1
host,4
asks,2
repeatedly,2
according,4
mac,2
arp,1
dhcp,1
sip,2
snmp,2
q40,1
interconnect,1
lans,1
osi,1
reference,1
relay,1
packets,1
bridge,1
gateway,1
repeater,1
router,1
q41,1
subnet,1
mask,1
255,3
240,1
valid,1
193,1
144,1
134,1
31,2
194,1
123,1
178,1
195,1
206,2
108,1
196,1
168,1
47,1
q42,1
si,1
gnaling,1
protocol,1
widely,1
initiate,1
manage,1
terminate,1
multimedia,1
sessio,1
ns,2
voice,1
video,1
calls,1
internet,1
rtp,1
smtp,1
q43,1
security,3
feature,1
allow,1
administrators,1
exactly,1
stations,1
wireless,1
filtering,4
packet,1
url,1
q44,1
achieved,1
receiving,1
mail,3
sender,2
comparing,1
receiver,1
protected,1
confirmation,1
delivery,2
detection,2
presence,1
absence,1
falsification,2
prevention,2
spoofing,1
tapping,1
q45,1
judgment,1
threshold,1
changed,3
biometric,1
authentication,1
relationship,3
betw,2
een,3
frr,5
false,2
rejection,1
rate,2
far,5
acceptance,1
decreases,5
increases,5
21,1
q46,1
pair,2
connection,8
measure,1
preventing,2
transmitted,1
received,1
wire,1
tapped,1
program,7
wiretapping,1
attacker,1
changing,1
default,1
port,1
provide,3
encrypting,1
sides,1
restricting,1
side,2
setting,2
password,1
st,3
art,2
stop,1
q47,1
sends,1
corporating,1
fraudulent,1
functions,3
destruction,1
installation,1
overflow,1
attack,3
dictionary,1
dos,1
trojan,1
horse,1
q48,1
web,2
was,1
invaded,1
contents,1
were,1
fa,2
lsified,1
sequence,2
activities,7
analyze,1
log,1
ids,5
intrusion,1
firewall,1
identify,1
gain,1
unauthorized,2
extent,1
impact,2
path,5
invasion,1
reconstruct,1
apply,1
latest,1
patches,1
disconnect,1
monitor,1
while,2
after,2
connect,1
ing,2
q49,1
suitable,2
transition,3
greenhouse,2
keep,1
optimum,1
installed,2
water,2
bill,1
accounting,2
calc,1
ulates,1
charges,1
meters,1
inventory,5
taking,1
counts,1
assets,1
end,3
book,1
closing,1
measurement,1
resources,3
measures,1
operational,2
status,1
sources,1
report,1
23,1
q50,1
appropr,1
iately,1
efficiency,2
six,2
quality,2
characteristics,1
defined,3
isoiec,1
9126,1
modified,1
modifi,1
cations,1
include,1
corrections,1
improvements,1
adaptation,1
requirements,1
functional,2
specifications,1
transferred,1
softwa,2
understood,2
learned,1
attractive,1
user,1
under,4
specified,3
relative,1
amount,1
stated,1
q51,1
base,1
class,2
subclass,1
object,3
orientation,1
car,1
engine,1
employee,1
triangle,1
q52,1
appr,1
opriate,1
purpose,5
regression,1
test,8
verify,4
assess,2
acceptability,1
varying,1
workloads,1
actual,3
procedures,2
environments,1
able,1
manner,2
long,3
period,2
unscheduled,1
adjustment,1
functionality,1
upgraded,1
sy,1
stem,1
against,1
baseline,1
ensure,1
existing,4
capabilities,1
been,1
adversely,1
impacted,1
24,1
q53,1
standardization,1
defining,1
conventions,1
errors,3
programmers,1
tend,1
clarifying,1
standa,1
rd,1
promote,1
creation,1
original,1
limit,1
individual,1
style,1
but,3
easily,2
achieve,3
effect,1
optimi,2
zation,2
compiler,1
define,2
rules,1
items,4
languages,1
q54,1
flow,2
chart,2
decision,2
coverage,5
branch,2
add,1
enclosed,1
parentheses,1
q55,1
remaining,1
bugs,7
bug,1
embedding,1
captured,1
testing,3
embedded,3
still,1
hidden,1
te,1
proportional,1
q56,1
guide,1
improvement,6
maturity,1
project,7
division,1
organization,1
cmmi,1
mbnqa,1
sla,1
slcp,1
q57,1
series,1
activit,1
ies,1
activity,13
weeks,2
complete,2
prior,1
starting,1
weekly,3
minimized,1
delay,3
hi,1
ghest,1
dollars,1
remains,1
stable,1
unchanged,1
900,2
400,1
250,2
4200,1
