,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,DT,NN,VBZ,PRP,CD,WDT,VBP,PRP,.,,,,,,,,,
1,NNP,PRP,DT,NN,IN,NN,CC,WRB,RB,.,,,,,,,,
2,NNP,PRP,JJ,TO,VB,IN,NN,CC,IN,RB,VBP,PRP,VB,PRP,.,,,
3,NNP,PRP,JJ,IN,JJ,NNS,CC,VBP,PRP,VB,TO,VB,JJR,JJ,.,,,
4,NNP,PRP,DT,JJ,NN,CC,WRB,VBD,PRP,VB,TO,DT,NN,.,,,,
5,NNP,PRP,VBN,.,,,,,,,,,,,,,,
6,NNP,PRP,JJ,IN,VBG,NNS,.,,,,,,,,,,,
7,NNP,PRP,IN,NN,JJ,NNS,.,,,,,,,,,,,
8,NNP,PRP,IN,NNS,CC,VB,PRP,RB,VB,TO,NN,.,,,,,,
9,NNP,PRP,VBG,RB,TO,VBG,CC,VB,PRP,VB,TO,VB,RB,RB,IN,JJ,.,
10,NNP,PRP,JJR,IN,DT,NN,TO,VB,CC,DT,JJ,TO,VB,NN,IN,NN,.,
11,IN,DT,NN,WRB,MD,NN,VB,PRP,.,,,,,,,,,
12,NNP,NN,IN,RB,VBP,PRP,IN,IN,NNS,.,,,,,,,,
13,MD,PRP,VB,PRP$,NNP,NNS,.,,,,,,,,,,,
14,MD,PRP,VB,IN,NN,.,,,,,,,,,,,,
15,NNP,PRP,RB,VB,TO,VB,PRP$,NNS,.,,,,,,,,,
16,NNP,PRP,RB,VB,NN,IN,CC,VB,TO,PRP$,NNS,.,,,,,,
17,VB,PRP,CC,PRP$,NN,VBP,DT,NNS,IN,DT,JJ,.,,,,,,
18,VBP,PRP,VB,IN,DT,NN,VBZ,DT,NN,.,,,,,,,,
19,VBP,PRP,VB,IN,NN,.,,,,,,,,,,,,
20,VBP,PRP,VB,IN,NN,CC,WRB,RB,.,,,,,,,,,
21,VBP,PRP,VB,IN,VBG,DT,JJ,NN,.,,,,,,,,,
22,VBP,PRP,VB,IN,NN,IN,JJ,NNS,.,,,,,,,,,
23,VBP,PRP,VB,IN,NN,IN,JJ,NN,.,,,,,,,,,
24,VBP,PRP,VB,IN,JJ,NNS,.,,,,,,,,,,,
25,VBP,PRP,VB,IN,NNS,.,,,,,,,,,,,,
26,VBP,PRP,VB,NN,PRP,VBP,VBG,VBZ,RB,JJ,NN,.,,,,,,
27,VBP,PRP,VB,WP,VBZ,VBN,IN,PRP,MD,RB,VB,PRP,.,,,,,
28,VBP,PRP,VB,PRP,MD,VB,CD,NN,DT,NN,WDT,VBZ,PRP,.,,,,
29,VB,PRP,VB,PRP,JJ,IN,NN,.,,,,,,,,,,
30,VB,PRP,RB,VB,PRP,VBD,VBN,RB,.,,,,,,,,,
31,VB,PRP,VB,IN,IN,DT,PRP$,NNS,.,,,,,,,,,
32,VBP,PRP,VB,DT,JJ,NN,.,,,,,,,,,,,
33,VBP,PRP,VB,DT,JJ,NN,IN,NN,.,,,,,,,,,
34,VBP,PRP,VB,DT,NN,NN,IN,NN,.,,,,,,,,,
35,VBP,PRP,VB,DT,JJ,NN,.,,,,,,,,,,,
36,VBP,PRP,VB,DT,NN,NN,.,,,,,,,,,,,
37,VBP,PRP,VB,DT,NNS,.,,,,,,,,,,,,
38,VBP,PRP,VB,DT,NNS,PRP,MD,VB,NN,.,,,,,,,,
39,VBP,PRP,VB,DT,JJ,NNS,.,,,,,,,,,,,
40,VBP,PRP,VB,DT,VBG,NNS,.,,,,,,,,,,,
41,VBP,PRP,VB,DT,JJ,NNS,.,,,,,,,,,,,
42,VB,PRP,VB,DT,JJ,NN,CC,VB,RP,RB,.,,,,,,,
43,VBP,PRP,IN,VBG,TO,DT,NNS,CC,VB,VBG,IN,NN,.,,,,,
44,VB,PRP,VB,IN,DT,NN,IN,NN,CC,NN,.,,,,,,,
45,VB,PRP,VB,IN,DT,NNS,IN,NN,.,,,,,,,,,
